user_id,age,gender,occupation,screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,phone_pickups,night_usage_hours,mood_rating,eye_strain,stress_level,weekend_screen_time
U001,21,Female,Student,8.5,4.2,0.5,4.0,5.5,85,3.2,4,Yes,High,10.2
U002,24,Male,Student,6.2,3.1,1.5,5.0,6.8,60,1.8,6,No,Medium,7.5
U003,29,Female,Working,5.4,2.0,0.0,7.5,7.2,45,1.0,7,No,Low,6.0
U004,26,Male,Working,9.1,3.8,2.2,6.0,5.0,95,3.5,3,Yes,High,11.0
U005,23,Female,Student,7.8,4.5,0.8,4.5,6.0,78,2.6,5,Yes,Medium,9.0
U006,31,Male,Freelancer,6.5,2.8,0.4,6.5,7.0,55,1.5,7,No,Low,7.0
U007,22,Male,Student,10.0,5.0,2.0,3.5,4.8,110,4.0,2,Yes,High,12.0
U008,28,Female,Working,4.8,1.9,0.0,8.0,7.5,40,0.8,8,No,Low,5.5
U009,25,Male,Working,7.0,3.0,1.0,6.0,6.2,70,2.0,6,Yes,Medium,8.0
U010,20,Female,Student,9.5,5.2,1.2,3.0,5.2,98,3.8,3,Yes,High,11.5
U011,34,Male,Freelancer,5.9,2.2,0.6,7.0,7.1,50,1.2,7,No,Low,6.8
U012,27,Female,Working,6.8,3.4,0.5,6.5,6.5,65,2.1,6,Yes,Medium,8.2
U013,19,Male,Student,11.2,5.5,2.5,2.5,4.5,120,4.5,1,Yes,High,13.0
U014,30,Female,Working,5.2,2.1,0.0,7.8,7.4,42,1.0,8,No,Low,6.0
U015,24,Male,Student,7.5,3.6,1.0,4.8,6.0,72,2.4,5,Yes,Medium,9.0
U016,35,Female,Freelancer,6.0,2.5,0.3,7.2,7.0,48,1.3,7,No,Low,7.1
U017,22,Female,Student,8.9,4.7,0.6,4.0,5.6,90,3.0,4,Yes,High,10.5
U018,28,Male,Working,6.1,2.9,0.8,6.8,6.9,58,1.6,6,No,Medium,7.2
U019,26,Female,Working,5.6,2.4,0.0,7.0,7.3,46,1.1,8,No,Low,6.4
U020,21,Male,Student,9.8,5.0,1.8,3.2,5.0,105,3.9,3,Yes,High,11.8
